f (Hz),Re(Z),Im(Z)
118.4326171875,3244441.885602307,15978260.73735251
121.124267578125,5522785.635063308,20402826.95266221
123.81591796875,11127601.97722377,27428625.26989731
126.507568359375,27222757.03924635,37027119.92982979
129.19921875,72436362.84813561,18926176.29982295
131.890869140625,45843907.46253484,-37601613.05098947
134.58251953125,16777194.46319194,-31237953.84312193
137.274169921875,7946856.459505299,-22869766.58574895
139.9658203125,4573226.636050639,-17529458.11339225
142.657470703125,2997168.964280453,-14078025.04260097
145.34912109375,2128529.239794533,-11747643.51348954
148.040771484375,1678966.219685592,-10037959.66871445
150.732421875,1293574.499151326,-8792204.087175986
153.424072265625,1042240.624496345,-7760881.797118017
156.11572265625,882988.4353917569,-6924008.264414729
158.807373046875,823569.1433245272,-6265768.055674119
161.4990234375,732852.2222493708,-5774662.438180671
164.190673828125,611962.2421493168,-5346226.710821198
166.88232421875,478437.0141475818,-4934414.801592077
169.573974609375,380284.9092351714,-4526208.396693362
172.265625,338273.3082584911,-4170074.462713469
174.957275390625,302112.1133144301,-3883769.787122445
177.64892578125,256949.8438894779,-3601670.888109006
180.340576171875,222022.1745506715,-3358811.06983742
183.0322265625,200238.9575342419,-3110881.731200551
185.723876953125,188548.4863564027,-2898218.277566121
188.41552734375,187317.7127346156,-2718659.524843439
191.107177734375,186764.2385865346,-2540503.913897475
193.798828125,169675.94407257,-2389176.75398397
196.490478515625,170276.7353743214,-2239406.468863512
199.18212890625,159261.9477156295,-2113033.698247286
201.873779296875,141986.1303774008,-1980105.299763685
204.5654296875,133921.8029810903,-1849634.09165246
207.257080078125,122252.6878172468,-1718224.164999268
209.94873046875,122775.159200288,-1602551.682678947
212.640380859375,134000.3111005196,-1492843.622463145
215.33203125,137274.5619606016,-1397244.29951553
218.023681640625,134259.8794494535,-1312957.605598249
220.71533203125,120104.8567046942,-1223771.72213639
223.406982421875,107855.7559335741,-1126312.013929595
226.0986328125,104381.6413174975,-1033884.637325565
228.790283203125,98223.51466342906,-942172.6251714567
231.48193359375,97000.81806410954,-852388.4960082339
234.173583984375,98316.48032525009,-770625.528699726
236.865234375,97695.21540063915,-683335.5187594449
239.556884765625,99802.48398811888,-604378.8206754121
242.24853515625,102578.6239220254,-528634.2181624583
244.940185546875,101388.7022449907,-453120.3408361899
247.6318359375,100118.0380742235,-379098.6124673675
250.323486328125,99266.23424313206,-303504.1072634878
253.01513671875,98640.62294680148,-231288.1592358364
255.706787109375,96907.01037608345,-156720.9905843745
258.3984375,95917.92460544806,-82408.37537764281
261.090087890625,95563.10697233393,-7627.22894800664
263.78173828125,95932.47234169727,67316.86367653932
266.473388671875,97698.42183837191,142238.4745818251
269.1650390625,99392.53702625929,216439.5770795902
271.856689453125,101855.5875467839,290790.0597621109
274.54833984375,101805.334436012,364807.8760778884
277.239990234375,103402.4128617693,441606.6306613728
279.931640625,106882.2312604233,519426.3165396077
282.623291015625,107627.1410169881,593806.7583269571
285.31494140625,108609.2208178333,676504.5845949538
288.006591796875,115137.1100257346,756960.2805846591
290.6982421875,119181.9723847222,835813.9826700962
293.389892578125,119519.0773894711,922129.7907094711
296.08154296875,120583.428858701,1010351.464174095
298.773193359375,135158.0917530746,1100503.696098771
301.46484375,139030.7125305456,1184330.379137567
304.156494140625,138058.7869919884,1279371.415913095
306.84814453125,144550.6219177223,1377682.991306813
309.539794921875,161702.0219079618,1471595.064539116
312.2314453125,161942.4345321645,1581935.657865003
314.923095703125,163866.0132202681,1693585.776676983
317.61474609375,185129.1333078778,1818831.43948726
320.306396484375,221580.2675305613,1928532.450477771
322.998046875,228223.3252195682,2021245.899591878
325.689697265625,207160.7942407749,2129634.161289684
328.38134765625,172518.8861669418,2286854.964591322
331.072998046875,177174.2722132954,2479082.636813534
333.7646484375,208176.0505126432,2653842.036785894
336.456298828125,208751.7696932888,2831627.599843242
339.14794921875,222152.5474608338,3043226.481767877
341.839599609375,247826.8075566007,3280626.090993122
344.53125,264701.846008488,3532784.623610109
347.222900390625,286270.8301511212,3817298.052550097
349.91455078125,412473.9540429272,4141410.875512544
352.606201171875,485442.2958221444,4487540.030385081
355.2978515625,600579.7751442118,4843512.2397887
357.989501953125,714858.4176239975,5235355.956516909
360.68115234375,813447.6269914733,5685584.589881851
363.372802734375,969863.2895463369,6232595.762073796
366.064453125,1188948.321282046,6882177.955327208
368.756103515625,1481348.892759855,7598567.431766274
371.44775390625,1822159.223439964,8548288.000431776
374.139404296875,2328053.087081696,9708187.827926949
376.8310546875,3109504.43562983,11158922.72792304
379.522705078125,4330284.016296053,13082925.5619181
382.21435546875,6493343.632561843,15708797.56861112
384.906005859375,10608024.93072721,18986772.30711918
387.59765625,19001677.05778427,22032935.95751843
390.289306640625,34562765.73282796,18316683.76407905
392.98095703125,43906980.083878,-3750018.43451288
395.672607421875,29641791.35519858,-20701565.66549522
398.3642578125,16032135.38684794,-21259385.99647041
401.055908203125,9220876.021790426,-17838646.26897773
403.74755859375,5813392.983115119,-14722282.3046818
406.439208984375,3998940.228395183,-12341711.8055838
409.130859375,2937535.119007256,-10585433.8600949
411.822509765625,2267281.359606555,-9218325.437392514
414.51416015625,1804616.449692514,-8139716.225455062
417.205810546875,1438648.275863491,-7279020.923099685
419.8974609375,1193039.153411705,-6555240.786799948
422.589111328125,1035219.362061884,-5926263.059053827
425.28076171875,896375.0075576976,-5413736.247469215
427.972412109375,802195.3381780733,-4991580.364363063
430.6640625,703015.0903517589,-4605961.079195099
433.355712890625,640708.8987429864,-4272238.625327894
436.04736328125,567631.7603929782,-3985187.208587373
438.739013671875,499650.9262784722,-3728916.752836152
441.4306640625,440625.7575459356,-3481106.21273445
444.122314453125,378069.0991496924,-3249579.999040795
446.81396484375,337498.6165769114,-3021734.825357263
449.505615234375,305637.325164411,-2832656.13382728
452.197265625,300858.4212141884,-2636279.164376896
454.888916015625,281435.9453934492,-2469384.153418318
457.58056640625,266665.7188436534,-2312307.896458199
460.272216796875,249249.0075071391,-2170269.069840184
462.9638671875,239424.1411275456,-2032967.857319506
465.655517578125,231816.2179363646,-1908720.977456762
468.34716796875,228266.3167156299,-1787691.298699706
471.038818359375,220982.1714127451,-1676920.123355265
473.73046875,217361.2322059073,-1574060.683997815
476.422119140625,209950.1227141813,-1467482.45683794
479.11376953125,195883.4931236378,-1366497.373748407
481.805419921875,182721.0832896407,-1279502.65461036
484.4970703125,174778.3472344585,-1184661.53728099
487.188720703125,167020.6386285691,-1092301.079340599
489.88037109375,163180.7964378302,-992576.1252979499
492.572021484375,155742.4815762902,-907372.5889291929
495.263671875,154110.1835838791,-820222.023704253
497.955322265625,154793.4757824535,-738175.920636118
500.64697265625,153712.7682663328,-658257.5033765673
503.338623046875,149224.5652689925,-577650.3564302369
506.0302734375,149317.6269634294,-502944.3657221937
508.721923828125,145071.7728464001,-426950.0370212109
