f (Hz),Re(Z),Im(Z)
118.4326171875,153668.7897277634,-4894239.883791712
121.124267578125,156508.9694397994,-4784552.611212431
123.81591796875,135591.443805572,-4658943.542658548
126.507568359375,145735.1709485455,-4518313.386674742
129.19921875,212088.6595945872,-4460135.323582126
131.890869140625,147684.3734471816,-4396238.90137074
134.58251953125,123594.1336246095,-4272314.386374156
137.274169921875,109471.0331580845,-4170691.371893184
139.9658203125,94316.74817815471,-4058614.537846281
142.657470703125,105053.4838877828,-3950101.529618427
145.34912109375,111428.8899500634,-3857172.130862148
148.040771484375,133004.333582632,-3775759.726463627
150.732421875,138301.165133522,-3706059.414049652
153.424072265625,122833.1661767864,-3632488.472594488
156.11572265625,136611.2998875786,-3540220.841968864
158.807373046875,164430.533281006,-3478898.421833201
161.4990234375,169716.0684426037,-3447620.649766527
164.190673828125,148436.957441004,-3415975.550545588
166.88232421875,92691.96516931563,-3364868.705953644
169.573974609375,68422.22720225417,-3263996.080561548
172.265625,68827.21035347665,-3179109.45077248
174.957275390625,62776.70691841409,-3123355.125971499
177.64892578125,57006.69615901177,-3054610.076188713
180.340576171875,39053.14365485809,-2989417.016570155
183.0322265625,32454.09811440686,-2904968.620517474
185.723876953125,41844.23977798368,-2837188.580876146
188.41552734375,53050.99003097641,-2772065.371652171
191.107177734375,63496.61077449107,-2723803.581086148
193.798828125,58573.19309657501,-2672821.692546206
196.490478515625,65211.51844411308,-2619119.50622851
199.18212890625,63164.86377474949,-2583240.796640583
201.873779296875,50087.94625361542,-2529965.294568705
204.5654296875,44081.45656940326,-2474444.484460866
207.257080078125,40258.11234343603,-2415254.359878789
209.94873046875,50499.90976564023,-2356493.828540332
212.640380859375,63762.45461711457,-2310915.672293045
215.33203125,81849.99658268412,-2275899.629509177
218.023681640625,76593.86487877523,-2257869.943481294
220.71533203125,55885.07063090859,-2217407.401619783
223.406982421875,46487.2483657083,-2171764.255142034
226.0986328125,37308.6155851174,-2122602.842095157
228.790283203125,32225.21152750297,-2072807.78351524
231.48193359375,30648.93922825479,-2026896.771930526
234.173583984375,35888.91012991159,-1980791.34565243
236.865234375,39076.09855917462,-1933435.544952194
239.556884765625,46648.16540784372,-1892590.64117479
242.24853515625,52880.00537915518,-1861523.973830839
244.940185546875,53045.90542276119,-1827519.711453863
247.6318359375,55166.97808432574,-1793078.165400664
250.323486328125,54846.00371546545,-1762101.607852538
253.01513671875,46676.44168909822,-1728116.146469293
255.706787109375,47934.24842060121,-1683149.367433377
258.3984375,58531.30405801746,-1648180.091874713
261.090087890625,67346.99917533052,-1625562.735448878
263.78173828125,60242.96773190526,-1601484.033782304
266.473388671875,52306.1190525576,-1569856.219868832
269.1650390625,42298.66971585715,-1536648.276098883
271.856689453125,39418.07408693135,-1498999.816524944
274.54833984375,37437.20058090339,-1460677.492342971
277.239990234375,37250.58489873218,-1429976.61789989
279.931640625,41406.83958664511,-1398480.994309284
282.623291015625,44884.39810093582,-1361988.232605239
285.31494140625,44505.46371812544,-1338889.709149066
288.006591796875,39193.48755349439,-1309775.064212131
290.6982421875,42874.91706102753,-1284227.297738141
293.389892578125,45124.0630117516,-1244840.147922206
296.08154296875,41691.76675196244,-1213355.180809514
298.773193359375,36972.14666486827,-1187654.526623914
301.46484375,35582.9288970162,-1154902.933468879
304.156494140625,40694.47848438316,-1127002.660922766
306.84814453125,45748.12270680028,-1096584.063958815
309.539794921875,46619.84165480393,-1072915.964215298
312.2314453125,45571.82806506452,-1047765.691674874
314.923095703125,43561.73347927439,-1028051.522354081
317.61474609375,36595.30381308619,-1001325.095280373
320.306396484375,26817.21907630134,-968831.6771018829
322.998046875,26125.79001446396,-927764.3590792682
325.689697265625,38843.4412501947,-892203.47719328
328.38134765625,51887.93625712283,-868369.8881196713
331.072998046875,56202.35048194349,-855699.5602884911
333.7646484375,51722.90551857377,-831455.9404654882
336.456298828125,53759.77973366201,-804545.288134677
339.14794921875,57374.39616996586,-785177.5074297066
341.839599609375,55638.0456832875,-764307.6970806897
344.53125,55213.06773389732,-740024.7463694576
347.222900390625,57107.70400457497,-719271.5441899138
349.91455078125,49660.00050041305,-699531.395846813
352.606201171875,45446.36842549623,-678161.5129034915
355.2978515625,41098.61737847587,-653370.6793143607
357.989501953125,37635.29516243074,-626543.6884032764
